ID,Vietnamese_Text,English_Text,Vietnamese_Sound
word_lý,lý,reason (as in lý do),
word_chỗ,chỗ,place / spot,
word_học,học,to study / learn,
word_nhanh,nhanh,fast,
word_quay,quay,to turn / film,
word_sĩ,sĩ,"(suffix, e.g. doctor)",
word_cố,cố,to try (as in effort),
word_tuyệt,tuyệt,great / excellent,
word_lẽ,lẽ,reason (as in maybe),
word_chiến,chiến,to fight / war,
word_hỏi,hỏi,to ask,
word_đại,đại,big / university,
word_tiếp,tiếp,to continue,
word_tình,tình,feeling / love / situation,
word_ơi,ơi,hey (vocative particle),
word_bên,bên,side,
word_đồng,đồng,dong (currency) / together,
word_vui,vui,happy,
word_ổn,ổn,stable / okay,
word_gian,gian,space / time,
word_tâm,tâm,heart / mind,
word_cứu,cứu,to save / rescue,
word_đề,đề,topic / problem,
word_i,i,(fragment),
word_sinh,sinh,born / student,
word_trả,trả,to pay / return,
word_bộ,bộ,department / set,
word_đều,đều,equally / all,
word_máy,máy,machine,
word_vài,vài,a few,
word_vị,vị,flavor / position,
word_nước,nước,water / country,
word_giống,giống,similar / breed,
word_đánh,đánh,to hit / play (instrument),
word_xảy,xảy,to happen (as in xảy ra),
word_chơi,chơi,to play,
word_trai,trai,boy / male,
word_tối,tối,evening / dark,
word_cảnh,cảnh,scene / scenery / police,
word_câu,câu,sentence,
word_kia,kia,that (over there),
word_ko,ko,no / not (informal shorthand),
word_giữ,giữ,to keep / hold,
word_hành,hành,onion / action,
word_vô,vô,to enter / without,
word_kết,kết,to conclude / connect,
word_bởi,bởi,because of / by,
word_hiện,hiện,to appear / current,
word_giới,giới,world / realm / gender,
word_vừa,vừa,just now / to fit,
word_tiếng,tiếng,language / sound / hour,
word_báo,báo,to report / newspaper,
word_tưởng,tưởng,to (mistakenly) think,
word_chờ,chờ,to wait,
word_lo,lo,to worry,
word_đẹp,đẹp,beautiful,
word_hôm,hôm,day (as in hôm nay),
word_viên,viên,staff member / pill,
word_hình,hình,shape / image,
word_đáng,đáng,worthy of,
word_vấn,vấn,(in vấn đề = problem),
word_trọng,trọng,important (as in quan trọng),
word_bình,bình,calm / bottle,
word_đủ,đủ,enough,
word_oh,oh,oh (interjection),
word_cám,cám,"(informal spelling of cảm, as in thanks)",
word_lớn,lớn,big / grown up,
word_sáng,sáng,morning / bright,
word_bác,bác,uncle/aunt (elder),
word_lâu,lâu,a long time,
word_thần,thần,god / spirit,
word_sợ,sợ,to be afraid,
word_biệt,biệt,to separate (as in goodbye),
word_thông,thông,to communicate / pine tree,
word_cổ,cổ,neck / ancient,
word_giải,giải,to solve / prize,
word_phụ,phụ,to assist / side,
word_thường,thường,often / usual,
word_thương,thương,to love / pity,
word_vẻ,vẻ,appearance,
word_cuối,cuối,end / last,
word_rõ,rõ,clear,
word_cửa,cửa,door,
word_hợp,hợp,to suit / match,
word_trung,trung,middle / central,
word_bản,bản,version / draft,
word_dùng,dùng,to use,
word_ôi,ôi,oh! (exclamation),
word_tra,tra,to check,
word_bắn,bắn,to shoot,
word_cầu,cầu,to pray / bridge,
word_ba,ba,three / dad,
word_hội,hội,association / festival,
word_t,t,(informal texting shorthand),
word_đội,đội,team / to wear (on head),
word_tiên,tiên,fairy / first,
word_thân,thân,body / close,
word_chạy,chạy,to run,
word_thêm,thêm,to add / more,
word_đứa,đứa,kid / individual (informal classifier),
word_thay,thay,to replace / instead,
word_mang,mang,to carry / bring,
word_quân,quân,army / troops,
word_xác,xác,corpse / to confirm,
word_đời,đời,life / generation,
word_ngủ,ngủ,to sleep,
word_trời,trời,sky / heaven,
word_đổi,đổi,to change / exchange,
word_nhỏ,nhỏ,small,
word_liên,liên,connected (as in contact),
word_tội,tội,crime / pity,
word_nghĩa,nghĩa,meaning,
word_an,an,safe / peace,
word_điện,điện,electricity,
word_dù,dù,although / umbrella,
word_bay,bay,to fly,
word_nữ,nữ,female,
word_vệ,vệ,"guard (as in restroom, protect)",
word_phát,phát,to broadcast / to give out,
word_đối,đối,to face / pair,
word_c,c,(informal texting shorthand),
word_đêm,đêm,night,
word_trẻ,trẻ,young / child,
word_bệnh,bệnh,sickness,
word_gần,gần,near,
word_hoàn,hoàn,complete (as in hoàn thành),
word_trường,trường,school / field,
word_đợi,đợi,to wait,
word_tính,tính,to calculate / personality,
word_nhỉ,nhỉ,right? (tag question),
word_đất,đất,land / earth,
word_đứng,đứng,to stand,
word_ngồi,ngồi,to sit,
word_trông,trông,to look / watch over,
word_chiếc,chiếc,(vehicle/object classifier),
word_n,n,(informal texting shorthand),
word_xa,xa,far,
word_coi,coi,to consider / watch (informal),
word_chứng,chứng,evidence / proof,
word_ảnh,ảnh,photo,
word_kể,kể,to tell (a story),
word_khó,khó,difficult,
word_quyết,quyết,to decide,
word_chịu,chịu,to endure / bear,
word_năng,năng,energy / often,
word_tập,tập,to practice / episode,
word_súng,súng,gun,
word_vọng,vọng,hope (as in hy vọng),
word_giá,giá,price,
word_hoặc,hoặc,or,
word_sắp,sắp,about to,
word_xong,xong,finished / done,
word_tử,tử,child / death (in compounds),
word_đàn,đàn,herd / musical instrument,
word_sẵn,sẵn,ready / available,
word_kiểm,kiểm,to check,
word_mở,mở,to open,
word_cao,cao,tall / high,
word_uống,uống,to drink,
word_chuyển,chuyển,to move / transfer,
word_dừng,dừng,to stop,
word_ít,ít,little / few,
word_dưới,dưới,below / under,
word_đình,đình,(in gia đình = family),
word_chủ,chủ,owner / master,
word_chọn,chọn,to choose,
word_điên,điên,crazy,
word_vật,vật,object / animal,
word_thử,thử,to try,
word_thống,thống,system (as in hệ thống),
word_kiếm,kiếm,to search for / sword,
word_mắt,mắt,eye,
word_trưởng,trưởng,chief / head,
word_kế,kế,plan / next to,
word_phần,phần,part / portion,
word_biến,biến,to change / disappear,
word_lòng,lòng,heart / willingness,
word_sư,sư,master / teacher,
word_loại,loại,type / kind,
word_mạnh,mạnh,strong,
word_thuốc,thuốc,medicine,
word_đấu,đấu,to fight / compete,
word_thức,thức,to be awake / knowledge,
word_dễ,dễ,easy,
word_vợ,vợ,wife,
word_dụng,dụng,to use (as in sử dụng),
word_y,y,medicine (as in y tá = nurse),
word_trái,trái,fruit / left,
word_quái,quái,strange / monster,
word_phía,phía,direction / side,
word_tiến,tiến,to advance / progress,
word_đau,đau,to hurt / pain,
word_yeah,yeah,yeah,
word_điểm,điểm,point,
word_lực,lực,strength / force,
word_sai,sai,wrong / to send (someone),
word_ng,ng,(informal shorthand for người = person),
word_tệ,tệ,bad / terrible,
word_chắn,chắn,to block / certainly (as in chắc chắn),
word_quả,quả,fruit / result,
word_khốn,khốn,wretched / damned,
word_sàng,sàng,to filter / bed,
word_quên,quên,to forget,
word_phút,phút,minute,
word_minh,minh,bright / oneself (informal),
word_gã,gã,guy / fellow (often negative),
word_mừng,mừng,happy / glad,
word_kỳ,kỳ,period / strange,
word_hơi,hơi,a bit / steam,
word_a,a,ah (interjection),
word_chân,chân,foot / leg,
word_kinh,kinh,"(in experience, economy)",
word_tuần,tuần,week,
word_mua,mua,to buy,
word_thủ,thủ,"to keep / hand (as in procedure, player)",
word_đặc,đặc,special (as in đặc biệt),
word_may,may,fortunate / lucky,
word_duy,duy,only,
word_trí,trí,intelligence,
word_tàu,tàu,train / ship,
word_sức,sức,strength (as in health),
word_trò,trò,game / student,
word_quyền,quyền,right / power,
word_kìa,kìa,look! (pointing particle),
word_mỗi,mỗi,each,
word_quý,quý,precious / to respect,
word_phố,phố,street,
word_buổi,buổi,session (time of day),
word_thư,thư,letter (mail) / secretary,
word_hạ,hạ,lower / summer,
word_bài,bài,lesson / song,
word_đặt,đặt,to place / order,
word_tháng,tháng,month,
word_hôn,hôn,to kiss,
word_mai,mai,tomorrow,
word_tài,tài,talent / document,
word_diễn,diễn,to perform,
word_to,to,big / large,
word_the,the,(fragment),
word_phép,phép,permission,
word_nổi,nổi,to float / to become (as in famous),
word_pháp,pháp,law / method,
word_khách,khách,guest / customer,
word_đôi,đôi,pair / couple,
word_hiệu,hiệu,sign / brand (as in effective),
word_mặc,mặc,to wear,
word_vũ,vũ,dance / universe (in compounds),
word_yên,yên,calm (as in at ease),
word_quốc,quốc,nation / country,
word_máu,máu,blood,
word_hệ,hệ,system / relation,
word_đơn,đơn,order / simple,
word_khí,khí,air / gas / weapon,
word_khiến,khiến,to cause / make (someone do),
word_phá,phá,to destroy,
word_tục,tục,custom / to continue,
word_thú,thú,animal / interest,
word_tuổi,tuổi,age,
word_dân,dân,people / citizens,
word_chuẩn,chuẩn,standard / accurate,
word_tạo,tạo,to create,
word_cá,cá,fish,
word_luật,luật,law,
word_dẫn,dẫn,to lead / guide,
word_phục,phục,to serve / admire,
word_m,m,"(informal shorthand, 'me/you')",
word_nhiêu,nhiêu,(in bao nhiêu = how much),
word_mau,mau,quickly,
word_hiểm,hiểm,danger (as in nguy hiểm),
word_bàn,bàn,table / to discuss,
word_hoàng,hoàng,royal / yellow,
word_độ,độ,degree / level,
word_mạng,mạng,network / life,
word_sách,sách,book,
word_chó,chó,dog,
word_tiêu,tiêu,to spend (money) / pepper,
word_ư,ư,huh? (questioning particle),
word_phạm,phạm,to violate (as in crime),
word_chúc,chúc,to wish,
word_nhiệm,nhiệm,duty (as in trách nhiệm = responsibility),
word_thoại,thoại,speech (as in phone),
word_tinh,tinh,"essence, spirit",
word_tránh,tránh,to avoid,
word_gây,gây,to cause,
word_thúc,thúc,to urge / to end (as in kết thúc),
word_khu,khu,area / zone,
word_danh,danh,"name, fame",
word_tranh,tranh,to fight over / painting,
word_ổng,ổng,he/him (southern informal),
word_thắng,thắng,to win / brake,
word_cây,cây,tree,
word_xấu,xấu,"ugly, bad",
word_you,you,you (English),
word_xuất,xuất,to export / emerge,
word_áo,áo,shirt,
word_s,s,(fragment),
word_sếp,sếp,boss,
word_hy,hy,hope (as in hy vọng),
word_tiệt,tiệt,(fragment),
word_chí,chí,will / at least,
word_cấp,cấp,level / to provide,
word_giả,giả,fake / one who does (suffix),
word_xử,xử,"to handle, judge",
word_tấn,tấn,ton / to advance (military),
word_mật,mật,honey / secret,
word_thiết,thiết,necessary (as in cần thiết),
word_khá,khá,quite / fairly good,
word_liệu,liệu,to consider / I wonder if,
word_địa,địa,land / location (as in address),
word_lạc,lạc,lost,
word_bán,bán,to sell,
word_trình,trình,process (as in progress),
word_tượng,tượng,statue / elephant,
word_thoát,thoát,to escape,
word_tạm,tạm,temporary,
word_ngon,ngon,delicious,
word_đoán,đoán,to guess,
word_thiên,thiên,heaven / sky,
word_giáo,giáo,religion / spear,
word_mời,mời,to invite,
word_rời,rời,"to leave, depart",
word_thanh,thanh,sound / clear,
word_okay,okay,okay,
word_dự,dự,to plan / attend,
word_chàng,chàng,"young man, lad",
word_lệnh,lệnh,"order, command",
word_l,l,(fragment),
word_hứa,hứa,to promise,
word_nằm,nằm,to lie down,
word_sớm,sớm,early,
word_hey,hey,hey,
word_dối,dối,"to lie, deceive",
word_dịch,dịch,to translate / epidemic,
word_viết,viết,to write,
word_hoạch,hoạch,plan (as in kế hoạch),
word_vời,vời,(in tuyệt vời = wonderful),
word_giữa,giữa,in the middle of,
word_ma,ma,ghost,
word_bóng,bóng,ball / shadow,
word_hộ,hộ,to help / on behalf of,
word_nghỉ,nghỉ,to rest,
word_sử,sử,history,
word_nạn,nạn,"disaster, victim",
word_hại,hại,harm,
word_căn,căn,(house/unit classifier),
word_tim,tim,heart,
word_nguy,nguy,danger,
word_hồ,hồ,lake,
word_dậy,dậy,"to wake up, get up",
word_băng,băng,ice / tape,
word_mục,mục,section / column,
word_phim,phim,movie,
word_giỏi,giỏi,"good at, skilled",
word_viện,viện,institute (as in bệnh viện = hospital),
word_hướng,hướng,direction,
word_tế,tế,(in economy),
word_tĩnh,tĩnh,"calm, still",
word_thuật,thuật,skill / technique,
word_nhóc,nhóc,kid (informal),
word_đọc,đọc,to read,
word_kiểu,kiểu,style / type,
word_trị,trị,"to rule, treat (medically)",
word_phản,phản,to oppose / tray,
word_giao,giao,to deliver,
word_tù,tù,prison,
word_rối,rối,"tangled, confused",
word_trốn,trốn,"to hide, escape",
word_rượu,rượu,alcohol,
word_đá,đá,rock / kick / ice,
word_bước,bước,step,
word_dấu,dấu,"mark, sign",
word_ngu,ngu,stupid,
word_đức,đức,virtue / Germany,
word_cười,cười,to laugh / smile,
word_tư,tư,private / fourth,
word_cánh,cánh,wing,
word_vòng,vòng,"ring, loop",
word_mỹ,mỹ,beautiful / America,
word_hoa,hoa,flower,
word_lập,lập,to establish,
word_lạ,lạ,strange / unfamiliar,
word_tổng,tổng,total,
word_ban,ban,committee / to grant,
word_đóng,đóng,to close / pay,
word_tác,tác,work / act (as in cooperate),
word_hề,hề,clown / (in không hề = not at all),
word_lượng,lượng,quantity,
word_tụi,tụi,(informal 'we/you guys'),
word_càng,càng,the more... (comparison),
word_thận,thận,(in cẩn thận = careful),
word_di,di,to move (as in di chuyển),
word_bánh,bánh,cake / bread,
word_da,da,skin,
word_ngốc,ngốc,"silly, foolish",
word_án,án,(in plan/proposal),
word_đám,đám,"crowd, group",
word_tham,tham,greedy / to participate,
word_tức,tức,angry / meaning (as in tức là),
word_văn,văn,literature / culture,
word_mong,mong,to hope,
word_già,già,old,
word_nghiệp,nghiệp,"career, karma",
word_thuyền,thuyền,boat,
word_bí,bí,pumpkin / secret,
word_trang,trang,page / to decorate,
word_nè,nè,here (particle),
word_lũ,lũ,flood / group (derogatory),
word_hồi,hồi,period / time,
word_độc,độc,poison / alone,
word_hạnh,hạnh,virtue (as in hạnh phúc = happiness),
word_khỏe,khỏe,healthy,
word_hẹn,hẹn,appointment / to promise,
word_gửi,gửi,to send,
word_đùa,đùa,to joke,
word_trừ,trừ,"to subtract, except",
word_cáo,cáo,report (as in báo cáo),
word_khoảng,khoảng,about / around,
word_nhảy,nhảy,to jump / dance,
word_giác,giác,sense / angle,
word_thầy,thầy,teacher (male),
word_đầy,đầy,full,
word_khoan,khoan,to drill / wait a moment,
word_món,món,dish,
word_khả,khả,(in khả năng = ability),
word_phi,phi,to fly / non-,
word_nghiệm,nghiệm,experience / to test,
word_hóa,hóa,"to become, chemistry",
word_cẩn,cẩn,(in cẩn thận = careful),
word_suy,suy,to think (as in suy nghĩ),
word_đông,đông,crowded / winter / east,
word_suốt,suốt,throughout,
word_vua,vua,king,
word_kéo,kéo,to pull / scissors,
word_chồng,chồng,husband,
word_thất,thất,to lose / seven (formal),
word_đô,đô,dollar (informal),
word_nhật,nhật,day / Japan,
word_nghi,nghi,to suspect,
word_khủng,khủng,"huge, terrifying",
word_tiếc,tiếc,to regret,
word_dành,dành,to save / reserve,
word_thị,thị,market / to see (formal),
word_lái,lái,to drive,
word_tương,tương,sauce / mutual (as in future),
word_bữa,bữa,meal,
word_chả,chả,not (southern) / pork roll,
word_kiếp,kiếp,"lifetime, fate",
word_trận,trận,"battle, match",
word_im,im,"quiet, silent",
word_bức,bức,stuffy / (painting classifier),
word_mãi,mãi,forever,
word_triệu,triệu,million,
word_quanh,quanh,around,
word_màu,màu,color,
word_buồn,buồn,sad,
word_riêng,riêng,separate / private,
word_biển,biển,sea / sign,
word_nàng,nàng,"she, young lady (literary)",
word_dài,dài,long,
word_đỡ,đỡ,to help / better (recovering),
word_sơ,sơ,basic / first (as in first aid),
word_ngờ,ngờ,"to suspect, expect",
word_nổ,nổ,to explode,
word_đạo,đạo,"way, path, religion",
word_đem,đem,to bring,
word_linh,linh,spirit / flexible,
word_chức,chức,position / rank,
word_chất,chất,"substance, quality",
word_thẳng,thẳng,straight,
word_chống,chống,to resist / oppose,
word_mơ,mơ,to dream,
word_tổ,tổ,nest / group,
word_hoạt,hoạt,active (as in hoạt động),
word_mắn,mắn,fertile / lucky (as in may mắn),
word_lịch,lịch,schedule / calendar,
word_gắng,gắng,to try (as in cố gắng),
word_quen,quen,familiar / used to,
word_chừng,chừng,about / approximately,
word_thù,thù,"enemy, revenge",
word_khóa,khóa,lock / academic year,
word_đuổi,đuổi,to chase,
word_nguyên,nguyên,original / whole,
word_cầm,cầm,to hold,
word_thuộc,thuộc,to belong to / to memorize,
word_lửa,lửa,fire,
word_uh,uh,uh,
word_lính,lính,soldier,
word_ghét,ghét,to hate,
word_dạy,dạy,to teach,
word_ngăn,ngăn,"to prevent, compartment",
word_kiến,kiến,ant / opinion,
word_thả,thả,to release,
word_thu,thu,autumn / to collect,
word_thiếu,thiếu,to lack,
word_ngôi,ngôi,(house/star classifier) / throne,
word_lợi,lợi,"benefit, profit",
word_nam,nam,south / male,
word_chia,chia,to divide / share,
word_cắt,cắt,to cut,
word_dây,dây,rope / wire / string,
word_lắng,lắng,to listen carefully / to settle,
word_thậm,thậm,(in thậm chí = even),
word_sở,sở,office / bureau,
word_nhập,nhập,"to enter, import",
word_trách,trách,to blame (as in responsibility),
word_ghi,ghi,to note down / record,
word_đen,đen,black,
word_lão,lão,old man,
word_cưới,cưới,to marry,
word_hẳn,hẳn,definitely,
word_ly,ly,glass (cup),
word_âm,âm,sound / negative,
word_nghị,nghị,(in nghị quyết = resolution),
word_ngựa,ngựa,horse,
word_binh,binh,"soldier, military",
word_cũ,cũ,old,
word_vàng,vàng,"gold, yellow",
word_phân,phân,to divide / fertilizer,
word_hủy,hủy,"to cancel, destroy",
word_phương,phương,direction / method,
word_v,v,(fragment),
word_trợ,trợ,to assist (as in hỗ trợ),
word_ngoại,ngoại,foreign / maternal grandparent,
word_tây,tây,west / western,
word_tòa,tòa,"court, building",
word_tai,tai,ear,
word_truyền,truyền,to transmit,
word_đạn,đạn,bullet,
word_kì,kì,"period, strange (variant)",
word_ký,ký,to sign,
word_nghiêm,nghiêm,"strict, serious",
word_tá,tá,dozen / captain (rank),
word_vết,vết,mark / scar,
word_nhắc,nhắc,to remind,
word_đảm,đảm,to guarantee,
word_tiệc,tiệc,party,
word_dám,dám,to dare,
word_la,la,to shout,
word_ok,ok,okay,
word_quần,quần,pants,
word_mối,mối,relationship / termite,
word_chấp,chấp,"to accept, allow",
word_phiền,phiền,to bother / trouble,
word_th,th,(fragment),
word_đổ,đổ,to pour / to fall over,
word_lựa,lựa,to choose (as in lựa chọn),
word_ràng,ràng,(in ràng buộc = bind),
word_nửa,nửa,half,
word_lầm,lầm,mistaken,
word_chung,chung,shared / common,
word_chế,chế,"to make, mock",
word_ước,ước,to wish,
word_chi,chi,to spend (money),
word_cướp,cướp,to rob,
word_hi,hi,hi,
word_john,john,John (name),
word_nhờ,nhờ,to ask a favor,
word_bại,bại,"to fail, defeat",
word_quỷ,quỷ,devil,
word_huy,huy,to wave (a flag),
word_ch,ch,(fragment),
word_đằng,đằng,"direction, side",
word_tiểu,tiểu,small / to urinate,
word_hát,hát,to sing,
word_cử,cử,to elect,
word_ca,ca,shift (work),
word_cưng,cưng,darling / dear,
word_mã,mã,code (as in mã số),
word_chuyến,chuyến,trip,
word_thi,thi,to take an exam / poetry,
word_khăn,khăn,"scarf, towel",
word_lễ,lễ,ceremony,
word_lai,lai,origin (as in tương lai),
word_vượt,vượt,"to surpass, cross",
word_lối,lối,way / path,
word_thuyết,thuyết,theory,
word_tha,tha,to forgive,
word_nóng,nóng,hot,
word_vùng,vùng,region / area,
word_phúc,phúc,fortune / blessing,
word_giấy,giấy,paper,
word_tích,tích,to accumulate / story,
word_thái,thái,to slice / attitude,
word_nhạc,nhạc,music,
word_tận,tận,"until, to the utmost",
word_rắc,rắc,to sprinkle (as in rắc rối = trouble),
word_u,u,(fragment),
word_buộc,buộc,"to tie, force",
word_xét,xét,to examine,
word_kích,kích,to stimulate,
word_đoàn,đoàn,"group, delegation",
word_tiết,tiết,"detail, section / to secrete",
word_thịt,thịt,meat,
word_tóc,tóc,hair,
word_trắng,trắng,white,
word_thuận,thuận,favorable,
word_phù,phù,(in phù hợp = suitable),
word_rơi,rơi,to fall,
word_chăm,chăm,diligent,
word_lạnh,lạnh,cold,
word_cực,cực,"pole, extremely",
word_nhóm,nhóm,group,
word_kim,kim,needle / gold (compound),
word_b,b,(fragment),
word_tỉnh,tỉnh,"province / to wake up, sober",
word_cộng,cộng,plus / to add,
word_mái,mái,roof,
word_ty,ty,(in công ty = company),
word_cung,cung,palace / to supply,
word_săn,săn,to hunt,
word_cuốn,cuốn,to roll / (book classifier),
word_tướng,tướng,general (military),
word_dữ,dữ,fierce / data,
word_giận,giận,angry,
word_thượng,thượng,"upper, superior",
word_miệng,miệng,mouth,
word_soát,soát,to check (as in kiểm soát),
word_sản,sản,property / product,
word_tăng,tăng,to increase,
word_ứng,ứng,to respond,
word_bắc,bắc,north,
word_vi,vi,micro- / to violate,
word_trộm,trộm,to steal,
word_phí,phí,fee / to waste,
word_sửa,sửa,to fix / repair,
word_lệ,lệ,"tear / rule, custom",
word_cà,cà,(in cà phê = coffee),
word_lừa,lừa,to deceive / donkey,
word_mức,mức,"level, degree",
word_túi,túi,bag,
word_thánh,thánh,saint,
word_đỏ,đỏ,red,
word_giây,giây,second (time) / wire,
word_hưởng,hưởng,"to enjoy, receive (benefit)",
