ID,Vietnamese_Text,English_Text,Vietnamese_Sound
lesson_l7_1,Cái này bao nhiêu tiền ạ?,How much is this?,
lesson_l25_2,Bạn uống ở đây hay mang về ạ?,For here or to go?,
lesson_l12_3,Mình sống ở Hà Nội. Còn bạn?,I live in Hanoi. And you?,
lesson_l12_0,Bạn từ đâu đến?,Where are you from?,
lesson_l4_0,"Chào chị, tổng cộng là năm mươi nghìn ạ.","Hello, the total is fifty thousand.",
lesson_l14_3,Tên bạn viết thế nào?,How is your name written?,
lesson_l15_4,"Xin hỏi, bạn bao nhiêu tuổi?","May I ask, how old are you?",
lesson_l21_2,Vâng. Mã đơn hàng của bạn là gì?,Yes. What is your order code?,
lesson_l9_1,Anh đi thẳng nhé.,"Go straight, please.",
lesson_l12_2,Vậy bây giờ bạn sống ở đâu?,Then where do you live now?,
lesson_l11_2,Được. Bạn cần gì?,Okay. What do you need?,
lesson_l10_2,Mình là Nam. Bạn đến từ đâu?,I am Nam. Where do you come from?,
lesson_l24_3,Áo này hơi nhỏ. Có cỡ lớn hơn không?,This shirt is a bit small. Do you have a larger size?,
lesson_l13_0,"Xin lỗi, bạn có nói tiếng Anh không?","Excuse me, do you speak English?",
lesson_l20_1,Cô bán cho cháu một cân cam ạ.,"Auntie, please sell me one kilo of oranges.",
lesson_l16_3,Hôm nay mình bận. Ngày mai là thứ Bảy. Ngày mai đi nhé.,Today I am busy. Tomorrow is Saturday. Let's go tomorrow.,
lesson_l17_2,Bây giờ là hai giờ.,It is two o'clock now.,
lesson_l19_0,Tổng cộng là tám mươi nghìn đồng.,The total is eighty thousand dong.,
lesson_l2_1,Cho mình nước nha.,"Give me some water, please.",
lesson_l1_3,Tạm biệt em.,Goodbye.,
lesson_l18_3,Ở đây có bánh mì không ạ?,Do you have bread here?,
lesson_l6_1,"Xin lỗi, nhà vệ sinh ở đâu ạ?","Excuse me, where is the restroom?",
lesson_l27_4,"Dạ vâng, bún thịt nướng không lạc ạ.","Yes, understood. Grilled pork noodles without peanuts.",
lesson_l14_4,"H, A, và dấu huyền.","H, A, and the falling tone.",
lesson_l19_2,Được ạ. Xin vui lòng nhập mã pin.,Yes. Please enter your PIN.,
lesson_l3_0,Nhà vệ sinh ở kia. Em hiểu chưa?,The bathroom is over there. Do you understand?,
lesson_l22_1,Đây là năm trăm nghìn.,Here is five hundred thousand.,
lesson_l27_2,Dạ có ạ. Món này có nhiều lạc.,"Yes, it does. This dish has a lot of peanuts.",
lesson_l24_1,Tôi mặc thử cái áo này được không?,Can I try this shirt on?,
lesson_l22_2,Quý khách có tiền lẻ không ạ?,Do you have small change?,
lesson_l2_3,Cảm ơn nha.,Thanks!,
lesson_l17_4,Ba giờ rưỡi nhé.,"Three thirty, okay?",
lesson_l17_1,Được. Bây giờ là mấy giờ rồi?,Okay. What time is it now?,
lesson_l7_2,"Dạ, năm mươi nghìn đồng.",Fifty thousand dong.,
lesson_l14_2,Mình tên là Hà.,My name is Ha.,
lesson_l5_0,Cho tôi đi qua nhé.,"Let me pass, please.",
lesson_l26_2,Bạn uống gì không?,Would you like anything to drink?,
lesson_l12_1,Mình từ Đà Nẵng đến.,I am from Da Nang.,
lesson_l24_2,"Vâng, được ạ. Phòng thử đồ ở đằng kia.",Yes. The fitting room is over there.,
lesson_l26_0,"Chào bạn, bạn muốn gọi món gì?","Hello, what would you like to order?",
lesson_l21_0,Xin chào. Bạn cần giúp gì ạ?,Hello. Do you need help?,
lesson_l7_3,Gửi em tiền ạ.,Here is the money.,
lesson_l16_2,Được. Hôm nay chúng ta đi nhé?,Okay. Shall we go today?,
lesson_l9_3,"Không, rẽ phải ạ.","No, turn right.",
lesson_l15_2,Bây giờ là số bốn mươi lăm.,It is number forty-five right now.,
lesson_l25_3,Mình mang về. Bao nhiêu tiền?,To go. How much is it?,
lesson_l23_4,Dạ được. Bạn có hóa đơn không?,"Yes, okay. Do you have the receipt?",
lesson_l11_1,"Vâng. Xin lỗi anh, anh giúp tôi được không?","Yes. Excuse me, can you help me?",
lesson_l4_1,"Xin lỗi, tôi nói tiếng Việt không tốt.","Sorry, I don't speak Vietnamese well.",
lesson_l21_4,Gói hàng của bạn đây ạ.,Here is your package.,
lesson_l19_1,Thanh toán bằng thẻ được không?,Can I pay by card?,
lesson_l22_0,Tổng cộng là một trăm nghìn ạ.,The total is one hundred thousand.,
lesson_l4_3,Xin chị nói chậm lại.,Please speak more slowly.,
lesson_l20_4,Bốn mươi nghìn một cân.,Forty thousand for one kilo.,
lesson_l10_3,Mình đến từ Mỹ.,I come from America.,
lesson_l28_4,Được ạ. Quý khách đợi một chút nhé.,Yes. Please wait a moment.,
lesson_l18_2,"Dạ, nước suối ở bên kia ạ.",The bottled water is over there.,
lesson_l20_3,Thế thôi ạ. Tất cả là bao nhiêu tiền ạ?,That's all. How much is the total?,
lesson_l3_3,"Dạ có, em hiểu ạ. Cảm ơn anh.","Yes, I understand. Thank you.",
lesson_l10_1,Mình là Anna. Còn bạn?,I am Anna. And you?,
lesson_l27_0,"Xin chào, quý khách muốn gọi món gì ạ?","Hello, what would you like to order?",
lesson_l15_0,Xin chào. Bạn đang đợi số mấy?,Hello. What number are you waiting for?,
lesson_l20_2,Của cháu đây. Cháu mua thêm gì không?,Here is yours. Are you buying anything else?,
lesson_l5_3,"Xin lỗi, ga tàu ở đâu?","Excuse me, where is the train station?",
lesson_l5_1,Xin lỗi!,Sorry!,
lesson_l15_3,"Dạ, là tôi.","Yes, that is me.",
lesson_l28_1,"Không, cảm ơn em. Cho tính tiền nhé!","No, thank you. The bill, please!",
lesson_l17_3,Mấy giờ mình gặp nhau?,What time are we meeting?,
lesson_l4_2,"Dạ, năm mươi nghìn ạ.","Yes, fifty thousand.",
lesson_l18_0,"Xin chào, bạn cần gì ạ?","Hello, what do you need?",
lesson_l25_1,Cho mình một cốc cà phê sữa đá.,"I'd like an iced milk coffee, please.",
lesson_l23_3,Tôi không muốn đổi. Tôi muốn hoàn tiền.,I don't want to exchange. I want a refund.,
lesson_l11_3,Trạm xe buýt ở đâu ạ?,Where is the bus stop?,
lesson_l16_0,Hôm nay là thứ Sáu. Bạn muốn đi xem phim không?,Today is Friday. Do you want to go see a movie?,
lesson_l7_4,"Dạ, em cảm ơn ạ.",Thank you.,
lesson_l6_2,Ở kia ạ.,It is over there.,
lesson_l9_0,"Chào anh, mình đi đường nào ạ?","Hello, which way are we going?",
lesson_l3_1,"Dạ không, em không hiểu ạ.","No, I don't understand.",
lesson_l1_2,Tạm biệt anh.,Goodbye.,
lesson_l26_3,Cho tôi một cốc cà phê sữa đá.,I would like a glass of iced milk coffee.,
lesson_l16_1,Hôm qua mình xem phim rồi. Chúng ta đi cà phê đi.,I already watched a movie yesterday. Let's go for coffee.,
lesson_l2_2,Nước của bạn đây.,Here is your water.,
lesson_l23_1,Cái đồng hồ này bị hỏng. Tôi muốn trả lại.,This watch is broken. I want to return it.,
lesson_l8_0,Xin chào quý khách. Quý khách muốn uống gì ạ?,Hello. What would you like to drink?,
lesson_l6_0,Xin chào ạ.,Hello.,
lesson_l1_0,Chào anh. Anh khỏe không?,Hello. How are you?,
