ID,Vietnamese_Text,English_Text,Vietnamese_Sound
lesson_l18_v2,nước suối,bottled water,
lesson_l18_v3,ở bên kia,over there,
lesson_l18_v4,có ... không,do you have...?,
lesson_l18_v5,có,yes / to have,
lesson_l18_v6,trái cây,fruit,
lesson_l18_v7,cần,to need,
lesson_l18_v8,xin lỗi,excuse me,
lesson_l18_v9,ở đâu,where,
lesson_l18_v10,ở đây,here,
lesson_l18_v11,bánh mì,bread,
lesson_l18_v12,sữa,milk,
lesson_l19_d0,Tổng cộng là tám mươi nghìn đồng.,The total is eighty thousand dong.,
lesson_l19_d1,Thanh toán bằng thẻ được không?,Can I pay by card?,
lesson_l19_d2,Được ạ. Xin vui lòng nhập mã pin.,Yes. Please enter your PIN.,
lesson_l19_d3,Xong rồi. Cảm ơn.,Done. Thank you.,
lesson_l19_v0,tổng cộng,total,
lesson_l19_v1,nghìn đồng,thousand dong,
lesson_l19_v2,bằng,by / using,
lesson_l19_v3,được không,is it possible? can I?,
lesson_l19_v4,nhập,to enter / to input,
lesson_l19_v5,xong rồi,done / finished,
lesson_l19_v6,hóa đơn,receipt / bill,
lesson_l19_v7,tám mươi,eighty,
lesson_l19_v8,thanh toán,to pay,
lesson_l19_v9,thẻ,card,
lesson_l19_v10,xin vui lòng,please,
lesson_l19_v11,mã pin,PIN code,
lesson_l19_v12,tiền mặt,cash,
lesson_l20_d0,"Chào cháu. Cam hôm nay rất tươi, cháu mua gì?","Hello. The oranges are very fresh today, what are you buying?",
lesson_l20_d1,Cô bán cho cháu một cân cam ạ.,"Auntie, please sell me one kilo of oranges.",
lesson_l20_d2,Của cháu đây. Cháu mua thêm gì không?,Here is yours. Are you buying anything else?,
lesson_l20_d3,Thế thôi ạ. Tất cả là bao nhiêu tiền ạ?,That's all. How much is the total?,
lesson_l20_d4,Bốn mươi nghìn một cân.,Forty thousand for one kilo.,
lesson_l20_d5,Cô bớt cho cháu một chút được không ạ?,Can you give me a little discount?,
lesson_l20_d6,"Được rồi, ba mươi lăm nghìn nhé.","Alright, thirty-five thousand then.",
lesson_l20_v0,một cân,one kilo,
lesson_l20_v1,tươi,fresh,
lesson_l20_v2,bao nhiêu tiền,how much money,
lesson_l20_v3,bớt,to discount,
lesson_l20_v4,bán,to sell,
lesson_l20_v5,bốn mươi,forty,
lesson_l20_v6,hôm nay,today,
lesson_l20_v7,cháu,I (to an older person),
lesson_l20_v8,thêm,more,
lesson_l20_v9,cam,orange,
lesson_l20_v10,tất cả,total,
lesson_l20_v11,nghìn,thousand,
lesson_l20_v12,một chút,a little bit,
lesson_l20_v13,mua,to buy,
lesson_l20_v14,ba mươi lăm,thirty-five,
lesson_l20_v15,cô,auntie,
lesson_l20_v16,được không,is it possible,
lesson_l20_v17,gì,what,
lesson_l21_d0,Xin chào. Bạn cần giúp gì ạ?,Hello. Do you need help?,
lesson_l21_d1,Chào bạn. Tôi muốn lấy gói hàng.,Hello. I want to pick up a package.,
lesson_l21_d2,Vâng. Mã đơn hàng của bạn là gì?,Yes. What is your order code?,
lesson_l21_d3,Mã của tôi là tám chín không.,My code is eight nine zero.,
lesson_l21_d4,Gói hàng của bạn đây ạ.,Here is your package.,
lesson_l21_d5,Cảm ơn bạn.,Thank you.,
lesson_l21_v0,gói hàng,package,
lesson_l21_v1,mã,code,
lesson_l21_v2,mã đơn hàng,order code,
lesson_l21_v3,cần,to need,
lesson_l21_v4,của,of (possessive),
lesson_l21_v5,chín,nine,
lesson_l21_v6,đây,here,
lesson_l21_v7,lấy,to pick up,
lesson_l21_v8,đơn hàng,order,
lesson_l21_v9,giúp,to help,
lesson_l21_v10,muốn,to want,
lesson_l21_v11,tám,eight,
lesson_l21_v12,không,zero,
lesson_l22_d0,Tổng cộng là một trăm nghìn ạ.,The total is one hundred thousand.,
lesson_l22_d1,Đây là năm trăm nghìn.,Here is five hundred thousand.,
lesson_l22_d2,Quý khách có tiền lẻ không ạ?,Do you have small change?,
lesson_l22_d3,Tôi không có. Cho tôi xin tiền thừa nhé.,I don't have any. Please give me the change back.,
lesson_l22_v0,tổng cộng,total,
lesson_l22_v1,tiền mặt,cash,
lesson_l22_v2,tiền thừa,change back,
lesson_l22_v3,năm trăm nghìn,five hundred thousand,
lesson_l22_v4,nghìn,thousand,
lesson_l22_v5,cho tôi xin,please give me,
lesson_l22_v6,đây là,here is,
lesson_l22_v7,tiền,money,
lesson_l22_v8,tiền lẻ,small change,
lesson_l22_v9,một trăm nghìn,one hundred thousand,
lesson_l22_v10,trăm,hundred,
lesson_l22_v11,quý khách,customer (formal),
lesson_l22_v12,trả tiền,to pay,
lesson_l22_v13,không có,don't have,
lesson_l23_d0,"Chào bạn, bạn cần giúp gì không?","Hello, do you need help?",
lesson_l23_d1,Cái đồng hồ này bị hỏng. Tôi muốn trả lại.,This watch is broken. I want to return it.,
lesson_l23_d2,Xin lỗi bạn. Bạn muốn đổi cái mới không?,Sorry. Do you want to exchange for a new one?,
lesson_l23_d3,Tôi không muốn đổi. Tôi muốn hoàn tiền.,I don't want to exchange. I want a refund.,
lesson_l23_d4,Dạ được. Bạn có hóa đơn không?,"Yes, okay. Do you have the receipt?",
lesson_l23_d5,Đây là hóa đơn của tôi.,Here is my receipt.,
lesson_l23_v0,giúp,to help,
lesson_l23_v1,bị hỏng,broken,
lesson_l23_v2,đổi,to exchange,
lesson_l23_v3,hoàn tiền,refund,
lesson_l23_v4,bị lỗi,defective,
lesson_l23_v5,thẻ tín dụng,credit card,
lesson_l23_v6,đồng hồ,watch,
lesson_l23_v7,trả lại,to return,
lesson_l23_v8,cái mới,new one,
lesson_l23_v9,hóa đơn,receipt,
lesson_l23_v10,tiền mặt,cash,
lesson_l23_v11,cửa hàng,store,
lesson_l24_d0,Xin chào! Quý khách cần tìm gì ạ?,Hello! What are you looking for?,
lesson_l24_d1,Tôi mặc thử cái áo này được không?,Can I try this shirt on?,
lesson_l24_d2,"Vâng, được ạ. Phòng thử đồ ở đằng kia.",Yes. The fitting room is over there.,
lesson_l24_d3,Áo này hơi nhỏ. Có cỡ lớn hơn không?,This shirt is a bit small. Do you have a larger size?,
lesson_l24_d4,"Vâng, có ạ. Xin đợi một chút.",Yes. Please wait a moment.,
lesson_l24_v0,mặc thử,to try on,
lesson_l24_v1,được không,is it okay? / can I?,
lesson_l24_v2,hơi,a bit / slightly,
lesson_l24_v3,cỡ,size,
lesson_l24_v4,đợi một chút,to wait a moment,
lesson_l24_v5,quý khách,customer (formal),
lesson_l24_v6,chật,tight,
lesson_l24_v7,vừa,to fit / just right,
lesson_l24_v8,cái áo,shirt,
lesson_l24_v9,phòng thử đồ,fitting room,
lesson_l24_v10,nhỏ,small,
lesson_l24_v11,lớn hơn,larger,
lesson_l24_v12,tìm,to look for,
lesson_l24_v13,đằng kia,over there,
lesson_l24_v14,rộng,loose,
lesson_l25_d0,Xin chào. Bạn uống gì ạ?,Hello. What would you like to drink?,
lesson_l25_d1,Cho mình một cốc cà phê sữa đá.,"I'd like an iced milk coffee, please.",
lesson_l25_d2,Bạn uống ở đây hay mang về ạ?,For here or to go?,
lesson_l25_d3,Mình mang về. Bao nhiêu tiền?,To go. How much is it?,
lesson_l25_d4,"Dạ, ba mươi nghìn ạ.","That will be thirty thousand, please.",
lesson_l25_v0,xin chào,hello,
lesson_l25_v1,gì,what,
lesson_l25_v2,một cốc,one cup / glass,
lesson_l25_v3,ở đây,for here,
lesson_l25_v4,mang về,to go / take away,
lesson_l25_v5,dạ,polite particle (start of sentence),
lesson_l25_v6,nghìn,thousand,
lesson_l25_v7,cà phê đen,black coffee,
lesson_l25_v8,nóng,hot,
lesson_l25_v9,sữa,milk,
lesson_l25_v10,uống,to drink,
lesson_l25_v11,cho mình,I would like (give me),
lesson_l25_v12,cà phê sữa đá,iced milk coffee,
lesson_l25_v13,hay,or,
lesson_l25_v14,bao nhiêu tiền,how much is it,
lesson_l25_v15,ba mươi,thirty,
lesson_l25_v16,ạ,polite particle (end of sentence),
lesson_l25_v17,trà,tea,
lesson_l25_v18,đá,ice,
lesson_l26_d0,"Chào bạn, bạn muốn gọi món gì?","Hello, what would you like to order?",
lesson_l26_d1,Cho tôi một bát phở bò.,I would like a bowl of beef pho.,
lesson_l26_d2,Bạn uống gì không?,Would you like anything to drink?,
lesson_l26_d3,Cho tôi một cốc cà phê sữa đá.,I would like a glass of iced milk coffee.,
lesson_l26_v0,cho tôi,give me,
lesson_l26_v1,một,one,
lesson_l26_v2,phở bò,beef pho,
lesson_l26_v3,cốc,glass / cup,
lesson_l26_v4,gì,what / anything,
lesson_l26_v5,trà đá,iced tea,
lesson_l26_v6,đĩa,plate,
lesson_l26_v7,gọi món,to order food,
lesson_l26_v8,bát,bowl,
lesson_l26_v9,uống,to drink,
lesson_l26_v10,cà phê sữa đá,iced milk coffee,
lesson_l26_v11,bánh mì,Vietnamese sandwich,
lesson_l26_v12,cơm tấm,broken rice,
lesson_l27_d0,"Xin chào, quý khách muốn gọi món gì ạ?","Hello, what would you like to order?",
lesson_l27_d1,Cho tôi bún thịt nướng. Món này có lạc không?,I will have grilled pork noodles. Does this dish have peanuts?,
lesson_l27_d2,Dạ có ạ. Món này có nhiều lạc.,"Yes, it does. This dish has a lot of peanuts.",
lesson_l27_d3,Tôi không ăn được lạc. Xin đừng cho lạc.,I cannot eat peanuts. Please do not add peanuts.,
lesson_l27_d4,"Dạ vâng, bún thịt nướng không lạc ạ.","Yes, understood. Grilled pork noodles without peanuts.",
lesson_l27_v0,lạc,peanut,
lesson_l27_v1,bún thịt nướng,grilled pork noodles,
lesson_l27_v2,món,dish,
lesson_l27_v3,đừng,do not,
lesson_l27_v4,nhiều,a lot,
lesson_l27_v5,dị ứng,allergy,
lesson_l27_v6,bột ngọt,MSG,
lesson_l27_v7,đậu phộng,peanut (Southern),
lesson_l27_v8,gọi món,to order food,
lesson_l27_v9,không ăn được,cannot eat,
lesson_l27_v10,cho,to add,
lesson_l27_v11,quý khách,customer,
lesson_l27_v12,hải sản,seafood,
lesson_l27_v13,ăn chay,vegetarian,
lesson_l28_d0,Quý khách có muốn dùng thêm gì không ạ?,Would you like to order anything else?,
lesson_l28_d1,"Không, cảm ơn em. Cho tính tiền nhé!","No, thank you. The bill, please!",
lesson_l28_d2,Tổng cộng là ba trăm nghìn ạ.,The total is three hundred thousand.,
lesson_l28_d3,Trả bằng thẻ được không em?,Can I pay by card?,
lesson_l28_d4,Được ạ. Quý khách đợi một chút nhé.,Yes. Please wait a moment.,
lesson_l28_v0,quý khách,customer / guest,
lesson_l28_v1,cho tính tiền,"the bill, please",
lesson_l28_v2,tổng cộng,total,
lesson_l28_v3,trả,to pay,
lesson_l28_v4,trả bằng thẻ,to pay by card,
lesson_l28_v5,được không,is it possible?,
lesson_l28_v6,hóa đơn,receipt,
lesson_l28_v7,dùng thêm,to order more,
lesson_l28_v8,tính tiền,to calculate the bill,
lesson_l28_v9,nghìn,thousand,
lesson_l28_v10,thẻ,card,
lesson_l28_v11,tiền mặt,cash,
lesson_l28_v12,đợi một chút,wait a moment,
lesson_l29_d0,"Chào bạn, bạn muốn ăn gì ạ?","Hello, what would you like to eat?",
lesson_l29_d1,Cái này là món gì?,What is this dish?,
lesson_l29_d2,"Dạ, đó là bún chả.",That is bun cha.,
lesson_l29_d3,Cho tôi một suất bún chả nhé.,Please give me one portion of bun cha.,
lesson_l29_v0,cái này,this one,
lesson_l29_v1,gì,what,
lesson_l29_v2,cho tôi,give me,
lesson_l29_v3,suất,portion,
lesson_l29_v4,muốn,to want,
lesson_l29_v5,đó,that,
lesson_l29_v6,bánh mì,banh mi,
lesson_l29_v7,thực đơn,menu,
lesson_l29_v8,món,dish,
lesson_l29_v9,bún chả,bun cha,
lesson_l29_v10,một,one,
lesson_l29_v11,nhé,particle for requests,
lesson_l29_v12,ăn,to eat,
lesson_l29_v13,phở,pho,
lesson_l29_v14,cái kia,that one,
lesson_l30_d0,"Chào bạn, bạn uống gì ạ?","Hello, what would you like to drink?",
lesson_l30_d1,Cho tôi một cốc trà đá và một chai nước suối.,Give me a glass of iced tea and a bottle of mineral water.,
lesson_l30_d2,Vâng ạ. Bạn dùng ở đây hay mang đi?,Yes. Will you have it here or take it away?,
lesson_l30_d3,Mang đi. Tính tiền cho tôi nhé.,Take away. The bill please.,
lesson_l30_d4,Tổng cộng là hai mươi lăm nghìn ạ.,The total is twenty-five thousand.,
lesson_l30_v0,uống,to drink,
lesson_l30_v1,cho tôi,give me,
lesson_l30_v2,trà đá,iced tea,
lesson_l30_v3,nước suối,mineral water,
lesson_l30_v4,hay,or,
lesson_l30_v5,tính tiền,the bill,
lesson_l30_v6,hai mươi lăm,twenty-five,
lesson_l30_v7,gì,what,
lesson_l30_v8,cốc,glass,
lesson_l30_v9,chai,bottle,
lesson_l30_v10,dùng ở đây,to have it here,
lesson_l30_v11,mang đi,to take away,
lesson_l30_v12,tổng cộng,total,
lesson_l30_v13,nghìn,thousand,
lesson_l31_d0,"Chào bạn, bạn bị sao ạ?","Hello, what's wrong?",
lesson_l31_d1,Tôi bị đau ở đây.,It hurts here.,
lesson_l31_d2,"Vâng, đây là thuốc cho bạn.","Yes, here is medicine for you.",
lesson_l31_d3,Thuốc này uống thế nào ạ?,How do I take this medicine?,
lesson_l31_d4,Uống hai viên sau khi ăn.,Take two pills after eating.,
lesson_l31_v0,bị sao,what's wrong,
lesson_l31_v1,ở đây,here,
lesson_l31_v2,uống,to take (medicine),
lesson_l31_v3,viên,pill / tablet,
lesson_l31_v4,ăn,to eat,
lesson_l31_v5,đau đầu,headache,
lesson_l31_v6,đau,pain / to hurt,
lesson_l31_v7,thuốc,medicine,
lesson_l31_v8,thế nào,how,
lesson_l31_v9,sau khi,after,
lesson_l31_v10,nhà thuốc,pharmacy,
lesson_l31_v11,đau bụng,stomachache,
lesson_l32_d0,Chào anh. Anh cần khám bệnh ạ?,Hello. Do you need to see a doctor?,
lesson_l32_d1,Chào chị. Tôi muốn khám bệnh.,Hello. I want to see a doctor.,
lesson_l32_d2,Dạ được. Anh cho tôi xem hộ chiếu nhé.,"Yes, okay. Please let me see your passport.",
lesson_l32_d3,Đây là hộ chiếu của tôi.,Here is my passport.,
lesson_l32_d4,Cảm ơn anh. Anh vui lòng ngồi đợi.,Thank you. Please sit and wait.,
lesson_l32_d5,Cảm ơn chị.,Thank you.,
lesson_l32_v0,khám bệnh,to see a doctor,
lesson_l32_v1,cần,to need,
lesson_l32_v2,đây là,here is,
lesson_l32_v3,vui lòng,please,
lesson_l32_v4,đợi,to wait,
lesson_l32_v5,dạ được,"yes, okay",
lesson_l32_v6,bác sĩ,doctor,
lesson_l32_v7,hộ chiếu,passport,
lesson_l32_v8,muốn,to want,
lesson_l32_v9,của,of / belonging to,
lesson_l32_v10,ngồi,to sit,
lesson_l32_v11,xem,to see,
lesson_l32_v12,phòng khám,clinic,
lesson_l33_d0,Chào anh. Anh cần giúp gì ạ?,Hello. How can I help you?,
lesson_l33_d1,Chào chị. Tôi muốn đặt lịch khám với bác sĩ.,Hello. I want to make an appointment with a doctor.,
lesson_l33_d2,Vâng. Ba giờ chiều nay được không ạ?,Yes. Is three o'clock this afternoon okay?,
lesson_l33_d3,Ba giờ tôi bận rồi. Bốn giờ rưỡi được không?,I am busy at three. Is four thirty okay?,
lesson_l33_d4,Dạ được. Hẹn anh lúc bốn giờ rưỡi chiều nay.,"Yes, that works. See you at four thirty this afternoon.",
lesson_l33_v0,đặt lịch khám,to make a doctor's appointment,
lesson_l33_v1,được không,is it okay?,
lesson_l33_v2,hẹn,to have an appointment,
lesson_l33_v3,ba giờ,three o'clock,
lesson_l33_v4,giúp,to help,
lesson_l33_v5,phòng khám,clinic,
lesson_l33_v6,ngày mai,tomorrow,
lesson_l33_v7,bác sĩ,doctor,
lesson_l33_v8,bận,busy,
lesson_l33_v9,chiều nay,this afternoon,
lesson_l33_v10,bốn giờ rưỡi,four thirty,
lesson_l33_v11,bệnh viện,hospital,
lesson_l33_v12,sáng nay,this morning,
lesson_l33_v13,y tá,nurse,
lesson_l34_d0,"Chào anh, anh bị sao vậy?","Hello, what is wrong?",
lesson_l34_d1,"Chào bác sĩ, tôi bị đau bụng lắm ạ.","Hello doctor, my stomach hurts a lot.",
lesson_l34_d2,Anh bị đau bao lâu rồi?,How long have you been in pain?,
lesson_l34_d3,Tôi bị đau ba ngày rồi ạ.,I have been in pain for three days already.,
lesson_l34_d4,Anh có bị sốt không?,Do you have a fever?,
lesson_l34_d5,"Dạ có, tôi cũng bị sốt ạ.","Yes, I also have a fever.",
